AQI,CO2,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
1,,270.37,0.0,14.57,52.21,0.66,2.57,4.68,8.61
2,,236.99,0.0,3.38,68.67,0.43,0.92,2.2,1.6
1,,191.93,0.0,2.53,53.64,1.21,6.27,7.23,0.64
2,,220.3,0.0,1.91,63.66,0.53,0.5,0.77,0.83
2,,226.97,0.0,11.31,60.08,0.43,1.45,6.44,6.02
1,,181.91,0.0,3.73,50.78,0.24,6.73,9.23,2.31
1,,233.65,0.0,3.94,54.36,0.32,4.25,5.24,0.97
2,,220.3,0.0,1.67,77.25,0.83,0.5,1.06,0.15
1,,253.68,0.0,7.88,44.35,1.85,9.6,10.4,0.53
1,,240.33,0.0,15.59,49.35,0.71,1.33,4.88,4.12
2,,236.99,0.0,7.54,55.08,1.12,20.56,26.81,4.94
1,,247.0,0.0,7.54,51.5,0.25,1.54,3.21,1.54
2,,350.48,0.0,6.08,38.98,0.33,20.6,23.46,6.78
1,,250.34,0.01,31.19,44.35,1.16,1.93,7.89,2.22
2,,240.33,0.0,6.26,62.94,0.43,1.41,3.56,7.16
2,,223.64,0.0,0.94,79.39,0.5,0.5,1.37,0.17
1,,240.33,0.0,17.48,47.92,0.66,1.68,6.08,5.57
2,,230.31,0.0,1.48,83.69,0.54,0.5,1.04,0.3
2,,226.97,0.0,1.37,80.11,0.48,0.5,1.15,0.73
2,,230.31,0.0,3.81,65.09,2.15,1.59,3.44,1.49
2,,230.31,0.0,3.43,65.09,0.53,0.53,1.14,1.54
2,,293.73,0.0,14.4,35.76,2.41,17.0,18.29,0.57
2,,230.31,0.0,4.16,76.53,1.21,0.77,1.75,1.73
1,,247.0,0.0,8.05,42.2,0.16,1.27,2.61,3.01
1,,236.99,0.0,4.11,58.65,0.16,0.66,1.53,2.47
1,,257.02,0.0,12.17,52.21,0.68,2.62,4.84,16.47
2,,297.07,0.0,8.57,74.39,1.7,21.45,25.0,1.19
2,,220.3,0.0,0.63,81.54,0.27,0.5,1.66,0.57
1,,270.37,0.0,10.2,55.79,0.55,1.63,3.58,1.87
2,,223.64,0.0,1.16,73.67,0.25,0.5,1.64,1.11
